План по внедрению Web навигатора ЦФТ

| № п\п                                                         | Наименование мероприятия                             | Ответственные от УИТ                | Ответственные от Бизнес подразделения   | Срок       | Статус                                                      | Комментарии                                   |
|---------------------------------------------------------------|------------------------------------------------------|-------------------------------------|-----------------------------------------|------------|-------------------------------------------------------------|-----------------------------------------------|
| Продуктивный                                                  | контур                                               | Позднухов Андрей                    | 29.09.2025                              |            | Готово                                                      | 1                                             |
| 2 Инструкция для пользователей                                | Андрей                                               | Позднухов                           | 29.09.2025                              | В работе   | Готова дистрибутивная инструкция                            |                                               |
| Мониторинг в Zabbix                                           | Позднухов Иванов Роман                               | Андрей,                             | 13.10.2025                              |            | В работе                                                    | 3                                             |
| Тестовый контур                                               | Позднухов Андрей                                     |                                     | 20.10.2025                              | Отложено   | Необходимо добавить еще одну виртуальную машину 2mca- proxy | 4                                             |
| Информационное инструкцией                                    | письмо Михайленко Владимир                           | с                                   | 30.09.2025                              | В работе   |                                                             | 5                                             |
| 6 Миграция пользователей                                      | Позднухов Андрей, Болелов Александр                  | УИТ                                 | 06.10.2025                              | В работе   | нагрузки наVM                                               | Мониторинг                                    |
| 7 Миграция пользователей "Депозитарий"                        | Позднухов Андрей, Болелов Александр                  | Соколова Юлия                       | 10.10.2025                              | В          | работе                                                      |                                               |
| 8 Миграция пользователей управления бухгалтерского учета      | Позднухов Андрей, Болелов Александр                  |                                     | Конденко Татьяна                        | 10.10.2025 | В работе                                                    | Деактивация десктопа 17.10.2025               |
| 9 Миграция пользователей У. Бухгалтерской отчетности          | Позднухов Андрей, Болелов                            | Александр                           | Колобкова Валентина Васильевна          | 17.10.2025 | В работе 24.10.2025                                         | Деактивация десктопа                          |
| 10 Миграция "Служба                                           | пользователей Вн. Контроля"                          | Позднухов Андрей, Болелов Александр | Злобина Татьяна                         | 24.10.2025 | В работе                                                    | Деактивация десктопа 31.10.2025               |
| 11 Миграция "Служба Вн.                                       | пользователей Аудита" Позднухов Болелов              | Андрей, Александр                   | Цапко Наталья                           | 24.10.2025 | В работе                                                    | Деактивация десктопа 31.10.2025               |
| 12 Миграция Развития                                          | пользователей У. клиентских отношений Болелов        | Позднухов Андрей, Александр         | Хомякова Ирина                          | 24.10.2025 | В работе                                                    | Деактивация десктопа 31.10.2025               |
| 13 Миграция                                                   | пользователей У. Кредитных операций                  | Позднухов Андрей, Болелов Александр | Бронникова Татьяна                      | 31.10.2025 | В работе Деактивация десктопа 07.11.2025                    |                                               |
| Миграция пользователей Розничного бизнеса                     | У. Позднухов Болелов Александр                       | Андрей,                             |                                         | 31.10.2025 | В работе Деактивация десктопа 07.11.2025                    | 14 Елизарова Татьяна                          |
| Миграция пользователей У. Мониторинга кредитных рисков        | Позднухов Андрей, Болелов                            | Александр                           | Разумец Татьяна                         | 07.11.2025 | В работе Деактивация десктопа 14.11.2025                    | 15                                            |
| 16 Миграция Юридического                                      | пользователей управления Позднухов                   | Андрей, Болелов Александр           | Репухов Алексей                         | 07.11.2025 | В работе 14.11.2025                                         | Деактивация десктопа                          |
| 17 Миграция пользователей Службы Инф.Безопасности             | Позднухов Андрей, Болелов                            | Александр                           | Останкович Вячеслав                     | 14.11.2025 | В работе                                                    | Деактивация десктопа 21.11.2027               |
| 18 Миграция пользователей У. Экономической безопасности       | Позднухов Андрей, Болелов Александр                  |                                     | Крышка Алексей                          | 14.11.2025 | В работе                                                    | Деактивация десктопа 21.11.2027               |
| 19 Миграция пользователей У. По работе с проблемными активами | Позднухов Андрей, Болелов Александр                  |                                     | Болотов Леонид                          | 14.11.2025 | В работе                                                    | Деактивация десктопа 21.11.2027               |
| 20 Миграция пользователей Сектор. Докум                       | оборота Позднухов                                    | Андрей, Болелов Александр           | Грахова Юлия                            | 21.11.2025 | В работе                                                    | Деактивация десктопа 28.11.2030               |
| 21                                                            | Миграция пользователей Отдела по работе с персоналом | Позднухов Андрей, Болелов Александр | Ткачева Виктория                        | 21.11.2025 | В работе                                                    | Деактивация десктопа 28.11.2030               |
| 22 Миграция Анализа                                           | пользователей У. контроля рисков Позднухов           | Андрей, Болелов Александр           |                                         | 21.11.2025 | В работе                                                    | Шевнина Ирина Деактивация десктопа 28.11.2030 |
| 23                                                            | Миграция пользователей Финансового управления        | Позднухов Андрей, Болелов Александр | Климова Оксана                          | 28.11.2025 | В работе                                                    | Деактивация десктопа 12.11.2033               |
| 24                                                            | Миграция пользователей Доп.офисов                    | Позднухов Андрей, Болелов Александр | Начальники доп.офисов                   | 12.12.2025 | Отложено                                                    | Работают в Цитриксе                           |

|   25 | Миграция пользователей Операционного управления   | Позднухов Андрей, Болелов Александр   | Заруднева Елена    | 19.12.2025   | В работе   | Деактивация десктопа 26.11.2033   |
|------|---------------------------------------------------|---------------------------------------|--------------------|--------------|------------|-----------------------------------|
|   26 | Миграция пользователей Фин. Мониторинга           | Позднухов Андрей, Болелов Александр   | Пономаренко Марина | 26.12.2025   | В работе   | Деактивация десктопа по запросу   |
|   27 | Миграция пользователей Руководства                | Позднухов Андрей, Болелов Александр   | Позднухов Андрей   | 26.12.2025   | В работе   | Деактивация десктопа по запросу   |
